student_id,student_name,father_name,gender,age,class,python_marks,java_marks,ruby_marks,cpp_marks,sql_marks,city,admission_date
,  Denise Anderson  ,,Male,200,,N/A,,absent,NULL,,123City,"December 02, 2024"
2,Christopher Turner,Gary Davis,unknown,22,BS-CS,N/A,,17,31,,,06/05/2022
3,,,,17,,eighty,,58,,149,LAKE SONYAMOUTH,"March 11, 2024"
ID_3,,unknown,M,-5,10th,eighty,,8,NULL,,,1994-09-06
ID_4,Kelsey Harper,Maria Lewis123,,27,bs-cs,eighty,,absent,NULL,150,Gouldside,06/12/2021
ID_5,TABITHA PAYNE,,F,-5,,N/A,,,,99,,
,  Crystal Cox  ,Jonathan Wilson123,,twenty,BSCS,N/A,,absent,39,,,"August 30, 2021"
,,James Grant,Female,,BSCS,,,absent,NULL,?,123City,"October 25, 2023"
9,STEVEN DANIELS,unknown,M,,,N/A,,43,NULL,,WEST LANCEBURY,2022.12.02
10,,,unknown,,,eighty,90 ,,,,,15/04/2021
ID_10,,unknown,,twenty,,42,90 ,,NULL,,123City,not_a_date
12,,,F,,12th,105,,90,31,,,2024.12.30
13,,unknown,unknown,,BSCS,N/A,90 ,6,20,91,123City,1989-12-08
,,unknown,Female,200,12th,90,,absent,8,?,123City,not_a_date
15,  Hector Reyes  ,David Sanchez,unknown,27,BSCS,115,49,absent,,41,123City,2023.08.24
,Karen Koch,,F,,12th,eighty,90 ,,79,?,123City,not_a_date
,lori colon,unknown,Female,200,,eighty,33,,,15,,not_a_date
18,Kathryn Meyer,,,27,10th,,,absent,NULL,40,123City,2023.05.29
ID_18,MANUEL SUTTON,unknown,unknown,19,BS-CS,N/A,,-24,NULL,,,not_a_date
ID_19,,Stacy Smith,,26,bs-cs,N/A,127,78,,?,Gilbertchester,1971-12-23
21,laura ferrell,Timothy Cox123,Female,,11th,,90 ,absent,NULL,92,NEW GEORGE,"March 28, 2024"
22,steven camacho,unknown,,,11th,N/A,90 ,13,,-47,123City,
23,,,Female,-5,BS-CS,eighty,90 ,92,43,,New Steven,15/01/2026
,,Kathryn Lee,F,,BSCS,eighty,,absent,,,,not_a_date
ID_24,felicia jackson,,,200,,,90 ,absent,,-4,,
,REBECCA WALTER,Scott Simon123,unknown,15,11th,eighty,90 ,34,,?,West Larry,not_a_date
27,Michael Chapman,,,twenty,,113,,absent,,72,,08/03/2022
,jordan jordan,Patrick Simmons,unknown,25,11th,-16,0,,,?,SOUTH KAITLYN,2021.11.12
,,Kara Morgan,Male,30,,eighty,26,65,61,,,
30,  Miguel Sharp  ,Robin Hunt123,Male,20,BSCS,eighty,,absent,58,?,North Christine,2023.03.22
31,Kenneth Mcclure,unknown,,,bs-cs,eighty,,58,,?,123City,02/12/2022
,JUSTIN TURNER,unknown,,16,BS-CS,91,,,37,,,1977-09-05
33,Chad Brown,Steven Peters123,F,twenty,10th,eighty,,69,NULL,,,
,susan cruz,unknown,Male,,12th,36,90 ,,NULL,7,,2024.12.24
35,  Veronica Harmon  ,Tara Ford,,,bs-cs,,,absent,10,,123City,
,Karen Diaz,unknown,F,27,10th,N/A,90 ,52,NULL,?,RAYMONDCHESTER,not_a_date
,,unknown,,twenty,BS-CS,34,,39,NULL,,Burnston,not_a_date
38,EMILY FRANKLIN,Benjamin Rodriguez,,-5,BSCS,N/A,90 ,,,,Daughertyfort,not_a_date
39,victoria park,,Female,twenty,10th,N/A,,,96,125,Sheilamouth,not_a_date
,robert jenkins,Paul Phillips,F,,,eighty,90 ,,,86,,not_a_date
ID_40,,unknown,M,200,BS-CS,eighty,,31,NULL,102,,"March 03, 2024"
42,timothy adams,Sharon Holland,F,,12th,eighty,,absent,49,1,,
43,Nicolas Pierce,Joy Pennington,,twenty,,20,,-11,42,?,123City,1985-11-28
44,JULIE DAVIS,Whitney Mckay123,M,-5,11th,eighty,,,,114,Lake Stacey,1995-07-26
,christopher robles,unknown,Female,200,bs-cs,,,,8,?,Robertview,2013-10-30
46,ANDREW MORTON,Richard Davis,unknown,,,N/A,,absent,,,Kristopherborough,"December 13, 2025"
47,KRISTINE HARRIS,Peggy Lewis,Female,-5,BSCS,,,absent,47,69,123City,"December 02, 2021"
,,Rodney Anderson,Female,200,BSCS,N/A,90 ,,71,,123City,08/07/2021
49,kara grant,,Male,200,BSCS,,,absent,71,?,New Ronaldside,"July 12, 2024"
50,,Donald Tyler,Male,200,BSCS,eighty,90 ,,NULL,,123City,2022-12-10
,julie hunter,,M,200,10th,N/A,-1,absent,86,144,123City,18/10/2023
,,Shane Black,,16,11th,eighty,,absent,NULL,,New Darrellchester,
,,unknown,,21,11th,eighty,,-2,NULL,101,123City,"January 05, 2022"
,BECKY NAVARRO,unknown,unknown,-5,bs-cs,eighty,104,-3,,?,Port Stephanie,"December 12, 2025"
